question_idx,question,answer,context,title,keyword,topic,article_url,author,author_url
drug_7107,Có bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú không?,"Không bắt buộc, nên dùng thuốc theo đúng chỉ định của bác sĩ.","Thuốc Carbogast dùng được cho phụ nữ trong giai đoạn có thai và trong thời kỳ cho con bú với liều lượng cho phép. Tuy nhiên, bạn vẫn nên hỏi ý kiến bác sĩ trước khi sử dụng.",Phụ nữ có thai và cho con bú,Carbogast,2,https://youmed.vn/tin-tuc/thuoc-carbogast/,Dược sĩ Trần Vân Thy,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-van-thy/
drug_401,"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?","Ngoài tác dụng giảm đau, Acepron 250 mg còn có thêm tác dụng giảm thân nhiệt ở những người có triệu chứng sốt do cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật.","Các chỉ định của thuốc Acepron 250 mg như sau: Điều trị sốt và giảm các triệu chứng đau từ nhẹ tới vừa: - Sử dụng trong các dạng đau: Nhức đầu, đau răng, đau nhức do cảm cúm, sốt, đau cơ. Thuốc không có tác dụng trong điều trị thấp khớp và các cơn đau bắt nguồn từ nội tạng.
- Giảm thân nhiệt ở những người có triệu chứng sốt do: cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật…",Tác dụng của Acepron 250 mg,Acepron,2,https://youmed.vn/tin-tuc/acepron/,"Thạc sĩ, Dược sĩ Phan Tiểu Long",https://youmed.vn/tin-tuc/bac-si/duoc-si-phan-tieu-long/
drug_6736,Có thể tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú không?,"Không, không nên tự ý sử dụng thuốc.","Calci có thể qua nhau thai mẹ vào bé, thuốc cần được sử dụng dưới sự theo dõi của bác sĩ. Để đảm bảo an toàn cho mẹ và bé, không nên tự ý sử dụng thuốc.",Đối tượng đặc biệt khi sử dụng Calci D Hasan - Phụ nữ có thai và cho con bú,Calci D Hasan,2,https://youmed.vn/tin-tuc/calci-d-hasan/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_8880,Uống thuốc Comiaryl đúng cách như thế nào?,Nên uống nguyên viên thuốc Comiaryl với một cốc nước đầy.,Thời điểm dùng thuốc: uống ngay trước hoặc trong bữa ăn. Lưu ý: Nên uống nguyên viên thuốc Comiaryl với một cốc nước đầy.,Cách dùng và liều dùng thuốc - Cách dùng1,Comiaryl,2,https://youmed.vn/tin-tuc/comiaryl/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_6738,Calci D Hasan có thể gây ảnh hưởng gì đến bệnh nhân mắc bệnh lý nền?,"Ở bệnh nhân mắc bệnh lý nền, Calci D Hasan có thể gây tăng nhạy cảm với vitamin D, làm tăng nguy cơ gây hại cho sức khỏe.","Bệnh nhân cần thông báo với bác sĩ về tiền sử bệnh và các thuốc đang dùng. Đặc biệt trong các bệnh: rối loạn hệ miễn dịch (Sarcoidosis) hoặc thiểu năng cận giáp (có thể gây tăng nhạy cảm với vitamin D). Ngoài ra, còn có các bệnh về thận như suy giảm chức năng thận, tiền sử sỏi thận. Hoặc người mắc bệnh tim, xơ vữa động mạch, bệnh gan, bệnh đường ruột (bệnh Crohn, bệnh Whipple),…",Đối tượng đặc biệt khi sử dụng Calci D Hasan - Người mắc bệnh lý nền,Calci D Hasan,2,https://youmed.vn/tin-tuc/calci-d-hasan/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_6644,Những điều kiện cần tránh khi bảo quản sản phẩm Bổ thần kinh H5000 là gì?,"Sản phẩm cần tránh bảo quản ở nơi ẩm ướt, có ánh sáng mặt trời, nhiệt độ cao hơn 30°C.","- Sản phẩm cần được bảo quản ở nơi khô ráo, tránh ánh sáng mặt trời, nhiệt độ không quá 30°C.
- Tránh xa tầm tay của trẻ em.
- Thuốc có hạn dùng là 36 tháng kể từ ngày sản xuất. Không dùng thuốc quá hạn dùng.",Cách bảo quản sản phẩm,Bổ thần kinh H5000,2,https://youmed.vn/tin-tuc/thuoc-bo-than-kinh-h5000-co-tot-khong-gia-thanh-phan-va-cach-su-dung-hieu-qua/,Dược sĩ Trần Vân Thy,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-van-thy/
drug_5860,Ở đâu là nơi thích hợp để Biosubtyl tránh xa tầm tay trẻ em và vật nuôi?,Để xa men vi sinh Biosubtyl khỏi tầm với của trẻ nhỏ và động vật để đảm bảo an toàn.,"- Để thuốc Biosubtyl tránh xa tầm tay của trẻ em và thú cưng trong nhà.
- Bảo quản men ở nơi khô ráo thoáng mát. Tránh tiếp xúc trực tiếp với ánh sáng hoặc để thuốc ở những nơi ẩm ướt.
- Nhiệt độ tốt nhất được khuyến nghị để bảo quản là < 30ºC. Bên trên là những thông tin sử dụng về men vi sinh Biosubtyl. Hãy gọi ngay cho bác sĩ nếu xuất hiện bất kỳ một triệu chứng nào bất thường để có thể được xử trí và hỗ trợ kịp thời nhé!",Cách bảo quản,Biosubtyl,2,https://youmed.vn/tin-tuc/men-vi-sinh-biosubtyl-va-nhung-dieu-can-luu-y/,Dược sĩ Nguyễn Ngọc Cẩm Tiên,https://youmed.vn/tin-tuc/bac-si/duoc-si-nguyen-ngoc-cam-tien/
drug_8040,"Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?","Có thể uống liều gấp đôi (4 viên/lần, ngày 2 lần).","Liều lượng sử dụng thuốc Cholapan được nhà sản xuất khuyến cáo cụ thể cho từng đối tượng như sau: - Người lớn: 2 viên/lần, 2 lần/ngày.
- Trẻ em từ 5 tuổi đến dưới 15 tuổi: 1 viên/lần, 2 lần/ngày.
- Trong trường hợp đau nhiều, có thể uống liều gấp đôi.",Cách dùng và liều dùng Cholapan - Liều dùng1,Cholapan,2,https://youmed.vn/tin-tuc/cholapan/,Dược sĩ Dương Thị Kim Ngân,https://youmed.vn/tin-tuc/bac-si/duoc-si-duong-thi-kim-ngan/
drug_8382,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,Tác dụng trên trẻ em chưa được rõ.,Thuốc cisaprid bài tiết qua sữa mẹ. Nên thận trọng khi dùng thuốc cho phụ nữ trong thời kỳ cho con bú. Tác dụng trên trẻ em chưa được rõ.,Phụ nữ có thai và cho con bú - Phụ nữ cho con bú,Cisapride,2,https://youmed.vn/tin-tuc/thuoc-cisaprid/,Dược sĩ Trần Vân Thy,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-van-thy/
drug_5947,Bôi thuốc Bisilkon bao nhiêu lần/ngày?,Thuốc Bisilkon bôi 2 lần/ngày vào buổi sáng và buổi tối.,"Bôi thuốc 2 lần/ngày vào buổi sáng và buổi tối. Để đạt được hiệu quả điều trị, nên bôi thuốc đều đặn, thường xuyên. Thời gian điều trị khác nhau tùy thuộc vào vị trí, mức độ và đáp ứng của bệnh nhân với thuốc. Nếu sau 3 – 4 tuần điều trị với Bisilkon mà không thấy có dấu hiệu cải thiện thì nên ngưng thuốc và thông báo với bác sĩ của mình.",Cách dùng và liều dùng thuốc - Liều dùng1,Bisilkon,2,https://youmed.vn/tin-tuc/bisilkon/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
