question_idx,question,answer,context,title,keyword,topic,article_url,author,author_url
disease_746,"Để kiểm tra và đánh giá mức độ của các nguy cơ mắc bệnh mạch vành, bác sĩ sẽ tiến hành những xét nghiệm nào?","Để kiểm tra và đánh giá mức độ của các nguy cơ mắc bệnh mạch vành, bác sĩ sẽ tiến hành đo huyết áp, cân nặng, xét nghiệm nồng độ mỡ máu, đường huyết…","Bệnh mạch vành có thể diễn biến âm thầm trong nhiều năm. Nhiều khi bệnh chỉ được phát hiện khi đã xuất hiện một cơn nhồi máu cơ tim. Do đó, việc tầm soát bệnh là quan trọng. Mặc dù bệnh mạch vành chủ yếu xảy ra ở tuổi trên 40, tuy nhiên, người trẻ hơn vẫn có thể mắc bệnh. Gần đây, lứa tuổi mắc bệnh càng ngày càng giảm. Theo Hội Tim mạch Mỹ, việc tầm soát bệnh mạch vành có thể bắt đầu từ lúc 20 tuổi. Để kiểm tra và đánh giá mức độ của các nguy cơ, bác sĩ sẽ tiến hành đo huyết áp, cân nặng, xét nghiệm nồng độ mỡ máu, đường huyết… Bạn có thể tìm hiểu thêm: Bệnh tim thiếu máu cục bộ: Nguyên nhân, nhận biết, phòng ngừa",Khi nào cần tầm soát bệnh mạch vành?,Bệnh mạch vành,1,https://youmed.vn/tin-tuc/benh-mach-vanh-benh-ly-tim-mach-gay-tu-vong-hang-dau/,Dược sĩ Trần Thị Thùy Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-thi-thuy-linh/
medicine_2769,Có bao nhiêu cách dùng và liều dùng Cây tỳ bà để chữa bệnh?,Có 2 cách dùng và liều dùng Cây tỳ bà để chữa bệnh.,"Tỳ bà diệp 20g, Khoản đông hoa 10g, Cam thảo 5g, nước 600ml. Sắc còn 200ml. Chia 3 lần uống trong ngày. Hoặc Tỳ bà diệp 12g, Cam thảo 4g, Hoàng bá 4g, Hoàng liên 4g, Nhân sâm 4g, Tang bạch bì 8g. Sắc uống (Tỳ Bà Thanh Phế Ẩm gia vị – Ngoại Khoa Đại Thành).","Cách dùng và liều dùng - Chữa ho, viêm phế quản mạn tính do phong nhiệt",Cây tỳ bà,3,https://youmed.vn/tin-tuc/cay-ty-ba-cong-dung-khong-chi-den-tu-la-cay/,Bác sĩ Phạm Lê Phương Mai,https://youmed.vn/tin-tuc/bac-si/bac-si-pham-le-phuong-mai/
disease_7342,Bệnh nấm da đầu có những thể nào?,"Bệnh nấm da đầu có thể chia làm 3 thể: thể viêm, thể không viêm và thể Favus.","Nấm da đầu có thể gặp ở trẻ từ 3-14 tuổi. Bệnh này có thể viêm hoặc không. Nấm viêm gây mảng rụng tóc có vảy có màu xám. Trường hợp không viêm gây rụng tóc kèm mảng mụn mủ, vảy tiết. Đôi khi có thể xuất hiện thể Favus đặc trưng bởi các mảng đỏ, ít vảy, tóc xỉn màu. Nấm da đầu có vảy tiết hình lòng chảo, mùi hôi khó chịu, tóc thường gãy sát chân.",Nguyên nhân gây rụng tóc vành khăn - Bệnh nấm da đầu,Rụng tóc vành khăn,1,https://youmed.vn/tin-tuc/rung-toc-vanh-khan-khong-nen-chu-quan/,ThS.BS Vũ Thành Đô,https://youmed.vn/tin-tuc/bac-si/bac-si-vu-thanh-do/
body-part_1114,"Theo một số nghiên cứu trước đây, thì lấy mẫu sinh thiết gai rau có thể gây ra dị tật gì ở em bé?","Theo một số nghiên cứu trước đây, thì lấy mẫu sinh thiết gai rau có thể gây ra dị tật ở ngón tay hoặc ngón chân của em bé.","Một số nghiên cứu trước đây cho rằng lấy mẫu sinh thiết gai rau có thể gây ra dị tật ở ngón tay hoặc ngón chân của em bé. Tuy nhiên, rủi ro dường như chỉ đáng kể nếu thủ thuật được thực hiện trước tuần thứ 10 của thai kỳ. Xem thêm: 8 lợi ích bất ngờ khác từ thuốc tránh thai hằng ngày.",Những rủi ro của thủ thuật sinh thiết gai nhau - Yếu tố nguy cơ khác,Gai rau,0,https://youmed.vn/tin-tuc/gai-rau-dac-diem-cau-truc-va-chuc-nang/,Bác sĩ Nguyễn Lâm Giang,https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-lam-giang/
disease_6712,Chứng khó đọc tác động đến tình trạng tâm thế của trẻ như thế nào?,"Nếu không được điều trị, khó đọc có thể ảnh hưởng xấu tới tình trạng tâm lý của trẻ, gây ra các vấn đề như lòng tự trọng thấp, các vấn đề về hành vi, lo lắng, hung hăng và xa lánh bạn bè, cha mẹ, giáo viên.","Chứng khó đọc có thể dẫn đến một số vấn đề, bao gồm: - Khó khăn học tập. Đọc là một kỹ năng cơ bản cho hầu hết các môn học khác. Một đứa trẻ mắc chứng khó đọc gặp bất lợi khi học và có thể gặp khó khăn trong việc theo kịp các bạn cùng trang lứa.
- Vấn đề xã hội. Nếu không được điều trị, chứng khó đọc có thể dẫn đến lòng tự trọng thấp, các vấn đề về hành vi, lo lắng, hung hăng và xa lánh bạn bè, cha mẹ, giáo viên.
- Vấn đề khi trưởng thành. Không có khả năng đọc và hiểu có thể ngăn trẻ phát huy tiềm năng của mình khi lớn lên. Điều này có thể ảnh hưởng đến giáo dục, xã hội và kinh tế lâu dài. Trẻ mắc chứng khó đọc có nguy cơ mắc chứng rối loạn thiếu tập trung/hiếu động thái quá (ADHD) và ngược lại. ADHD có thể gây khó khăn trong việc duy trì sự chú ý cũng như sự hiếu động và hành vi bốc đồng. Chứng khó đọc có thể khó điều trị hơn.",Biến chứng,Rối loạn khó đọc,1,https://youmed.vn/tin-tuc/chung-kho-doc-nguyen-nhan-chan-doan-va-can-thiep/,Chuyên viên tâm lý Nhiêu Quang Thiện Nhân,https://youmed.vn/tin-tuc/bac-si/bac-si-chuyen-khoa-ii-nhieu-quang-thien-nhan/
medicine_6139,"Trong tác dụng kháng viêm của Khổ sâm, cơ chế nào liên quan đến ức chế tổng hợp các hợp chất gây viêm?","Cơ chế này liên quan đến ức chế tổng hợp các hợp chất gây viêm như COX-2, iNOS, NO, IL-8, IL-6 và TNF-a.","Cơ chế liên quan đến ức chế tổng hợp các hợp chất gây viêm như COX-2, iNOS, NO, IL-8, IL-6 và TNF-a. Các kết quả này phù hợp với việc sử dụng vị thuốc này trong các đơn thuốc như viêm phổi, viêm gan mạn, vàng da,…",Tác dụng của Khổ sâm - Tác dụng kháng viêm của Khổ sâm,Khổ sâm,3,https://youmed.vn/tin-tuc/kho-sam/,Bác sĩ Dương Thị Ngọc Lan,https://youmed.vn/tin-tuc/bac-si/bac-si-duong-thi-ngoc-lan/
drug_1579,Liều dùng Allerphast 60 mg trong trường hợp viêm mũi dị ứng như thế nào?,Người lớn và trẻ em từ 12 tuổi trở lên: Uống 1 viên x 2 lần/ ngày hoặc 3 viên x 1 lần/ ngày. Trẻ em từ 6 đến 12 tuổi: 30 mg x 2 lần/ ngày.,"Liều lượng và thời gian sử dụng thuốc trong từng trường hợp phụ thuộc vào chỉ định của bác sĩ điều trị. Viêm mũi dị ứng - Người lớn và trẻ em từ 12 tuổi trở lên: Uống 1 viên x 2 lần/ ngày hoặc 3 viên x 1 lần/ ngày. Có thể tăng liều lên đến 4 viên x 2 lần/ ngày, nhưng hiệu quả điều trị sẽ không tăng.
- Trẻ em từ 6 đến 12 tuổi: 30 mg x 2 lần/ ngày. Mày đay mạn tính vô căn - Người lớn và trẻ em từ 12 tuổi trở lên: Uống 1 viên/ lần x 2 lần/ ngày.
- Trẻ em từ 6 đến 12 tuổi: 30 mg x 2 lần/ ngày. Người suy thận - Người lớn và trẻ em từ 12 tuổi trở lên bị suy thận hoặc cần chạy thận nhân tạo: Uống 1 viên/ lần/ ngày.
- Trẻ em 6-12 tuổi bị suy thận: 30 mg x 1 lần/ ngày. Người cao tuổi và người suy gan Không cần điều chỉnh liều. Lưu ý: Liều lượng trên chỉ mang tính chất tham khảo. Liều lượng cụ thể tùy thuộc vào tình trạng và diễn biến của bệnh. Tham khảo ý kiến ​​bác sĩ hoặc chuyên gia chăm sóc sức khỏe để có được liều lượng phù hợp.",Cách dùng và liều dùng Allerphast 60 mg - Liều dùng cho từng đối tượng,Allerphast,2,https://youmed.vn/tin-tuc/allerphast/,Dược sĩ Lương Triệu Vĩ,https://youmed.vn/tin-tuc/bac-si/duoc-si-luong-trieu-vi/
disease_1240,Hậu quả lâu dài của chấn thương sọ não có thể là gì?,"Hậu quả lâu dài của chấn thương sọ não có thể là tàn tật vĩnh viễn, nguy cơ mắc các vấn đề sức khỏe khác như lo lắng, trầm cảm và rối loạn căng thẳng sau chấn thương.","Có thể bao gồm các liệu pháp cải thiện cho bệnh nhân gặp khó khăn về thể chất, cảm xúc và nhận thức:5 - Vật lý trị liệu, để xây dựng sức mạnh thể chất, khả năng phối hợp và sự linh hoạt trong vận động.
- Liệu pháp nghề nghiệp, để giúp bệnh nhân học hoặc học lại cách thực hiện các công việc hàng ngày. Chẳng hạn như: mặc quần áo, nấu ăn và vệ sinh cá nhân.
- Liệu pháp ngôn ngữ, để giúp bệnh nhân có khả năng nói và các kỹ năng giao tiếp khác và điều trị chứng rối loạn nuốt – một di chứng có thể xảy ra sau CTSN.
- Tư vấn tâm lý, để giúp bệnh nhân học các kỹ năng đối phó, xây dựng các mối quan hệ và cải thiện tình cảm của bệnh nhân.
- Tư vấn nghề nghiệp, tập trung vào khả năng trở lại làm việc của bệnh nhân và đối phó với những thách thức tại nơi làm việc.
- Liệu pháp nhận thức, để cải thiện trí nhớ, sự chú ý, nhận thức, học tập, lập kế hoạch và phán đoán của bệnh nhân. Một số bệnh nhân CTSN có thể bị tàn tật vĩnh viễn. CTSN cũng có thể khiến bệnh nhân có nguy cơ mắc các vấn đề sức khỏe khác như lo lắng, trầm cảm và rối loạn căng thẳng sau chấn thương. Điều trị những vấn đề này có thể cải thiện chất lượng cuộc sống của họ. Qua bài viết trên, Bác sĩ Lê Anh Thư hy vọng bạn đọc đã có thêm thông tin về chấn thương sọ não. Đây là một tổn thương thường gặp trong đời sống và có tỷ lệ tử vong, thương tật cao. Việc có cái nhìn tổng quan về chấn thương này sẽ giúp chúng ta phần nào phòng tránh và có những bước xử lý kịp thời, giúp nâng cao khả năng phục hồi của bệnh nhân.",Điều trị chấn thương sọ não - Điều trị phục hồi chức năng,Chấn thương sọ não,1,https://youmed.vn/tin-tuc/chan-thuong-so-nao/,Bác sĩ Lê Anh Thư,https://youmed.vn/tin-tuc/bac-si/bac-si-le-anh-thu/
disease_14120,Tình trạng viêm âm đạo nào thường gặp nhất do rối loạn hệ vi khuẩn thường trú tại âm đạo?,Viêm âm đạo do vi khuẩn là tình trạng viêm âm đạo thường gặp nhất do rối loạn hệ vi khuẩn thường trú tại âm đạo.,"Đây là tình trạng viêm âm đạo thường gặp nhất do rối loạn hệ vi khuẩn thường trú tại âm đạo. Tình trạng này còn được gọi là “loạn khuẩn âm đạo”. Thông thường, vi khuẩn thường trú ở âm đạo, nhiều nhất là lactobacilli, cân bằng trạng thái khỏe mạnh của âm đạo. Khi loạn khuẩn âm đạo xảy ra, lactobacilli giảm xuống, các chủng vi khuẩn khác nhiều lên, đảo lộn sự cân bằng này. Gardnarella là một loại vi khuẩn thường được tìm thấy trong âm đạo và là một trong những tác nhân gây viêm vùng này. Sự phát triển quá mức của chúng có thể dẫn đến viêm âm đạo do vi khuẩn. Streptococcus hoặc Staphylococcus cũng có thể xuất hiển, nhưng thường không dẫn đến nhiễm trùng. Nhiễm trùng do vi khuẩn có thể gây ra khí hư màu trắng xám có mùi tanh. Loạn khuẩn âm đạo dường như có liên quan đến hoạt động tình dục. Đặc biệt, bệnh thường xảy ra ở những người phụ nữ có nhiều bạn tình hay có bạn tình mới. Trong vài trường hợp hiếm hơn, loạn khuẩn có thể xảy ra ở những người chưa quan hệ tình dục lần nào.",Nguyên nhân viêm âm đạo - Viêm âm đạo do vi khuẩn,Viêm âm đạo,1,https://youmed.vn/tin-tuc/viem-am-dao/,Bác sĩ Phạm Thị Ngọc Dung,https://youmed.vn/tin-tuc/bac-si/bac-si-pham-thi-ngoc-dung/
medicine_4109,Các giống cây dương xỉ được dùng làm cây cảnh có màu sắc lá gì?,"Một số giống cây dương xỉ được dùng làm cây cảnh có màu lá khác nhau từ xanh xám, xanh bạc đến xanh lam.","Dương xỉ (Polypodium leucotomos) có nguồn gốc từ vùng nhiệt đới và cận nhiệt đới của Châu Mỹ. Chúng thường sống trong các tán của rừng mưa nhiệt đới hoặc dưới những cây cọ lùn của rừng cận nhiệt đới. Cây thích nghi tốt trong điều kiện nuôi trồng bình thường và là loại cây cảnh cũng như dược liệu. Một số giống trồng trong vườn với màu lá khác nhau từ xanh xám, xanh bạc đến xanh lam. Mép lá nhăn hoặc gợn sóng.","Giới thiệu chung - Phân bố, sinh thái",Dương xỉ,3,https://youmed.vn/tin-tuc/duong-xi/,ThS.BS Nguyễn Thị Lệ Quyên,https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-thi-le-quyen/
