question_idx,question,answer,context,title,keyword,topic,article_url,author,author_url
drug_6073,"Biviantac có thể điều trị trướng bụng, đầy hơi không?","Có, Biviantac có thể điều trị các tình trạng như trướng bụng, đầy hơi, ợ nóng, ợ hơi hay ợ chua.","Thuốc Biviantac được chỉ định để điều trị các trường hợp do tăng tiết acid quá mức như: - Khó tiêu, nóng rát hay đau vùng thượng vị.
- Trướng bụng, đầy hơi, ợ nóng, ợ hơi hay ợ chua.
- Tăng độ acid, đau rát dạ dày.
- Các rối loạn thường gặp trong những bệnh lý loét dạ dày tá tràng, thực quản.",Chỉ định của thuốc Biviantac,Biviantac,2,https://youmed.vn/tin-tuc/thuoc-biviantac-thuoc-dung-cho-cac-roi-loan-tieu-hoa/,Dược sĩ Trần Vân Thy,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-van-thy/
drug_3019,Tại sao phải bảo quản thuốc Aphaxan Armephaco trong bao bì kín?,"Để tránh thuốc tiếp xúc với không khí và độ ẩm, ảnh hưởng đến chất lượng của thuốc.","Cách bảo quản thuốc Aphaxan như sau: - Thuốc phải được bảo quản trong bao bì kín.
- Bảo quản thuốc ở nơi khô ráo, thoáng mát và tránh tiếp xúc trực tiếp ánh nắng mặt trời.
- Nhiệt độ bảo quản thuốc nên dưới 30 ºC. Trên đây là một số thông tin cơ bản về công dụng và các lưu ý khi dùng thuốc Aphaxan Armephaco. Để đảm bảo an toàn và hiệu quả cho bản thân, bạn nên tham khảo ý kiến của chuyên gia y tế trước khi sử dụng. Hy vọng bài viết mang đến nhiều kiến thức bổ ích cho bạn đọc.",Bảo quản thuốc Aphaxan Armephaco,Aphaxan Armephaco,2,https://youmed.vn/tin-tuc/aphaxan-armephaco/,"Thạc sĩ, Dược sĩ Phan Tiểu Long",https://youmed.vn/tin-tuc/bac-si/duoc-si-phan-tieu-long/
drug_3867,Tổng hợp các cách dùng hiệu quả để quản lý Atorvastatin T.V Pharm?,Các cách thức dùng thuốc Atorvastatin T.V Pharm hiệu quả là sử dụng đường uống.,Thuốc Atorvastatin T.V Pharm được dùng đường uống.,Cách dùng và liều dùng Atorvastatin T.V Pharm - Cách dùng,Atorvastatin T.V Pharm,2,https://youmed.vn/tin-tuc/atorvastatin-tv-pharm/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_3301,"Trong quá trình sử dụng Asevictoria Mediplantex, cần lưu ý điều gì?",Cần lưu ý rằng thuốc phải để tránh xa tầm tay của trẻ em.,"Trong quá trình sử dụng thuốc, người dùng cần lưu ý những điều sau đây:2 - Để thuốc tránh xa tầm tay của trẻ em.
- Thuốc có thể uống bất kỳ lúc nào trong chu kỳ kinh nguyệt, ngoại trừ khi bị chậm kinh.
- Không dùng thuốc như một biện pháp tránh thai hàng ngày.
- Sau khi dùng thuốc, nếu trễ kinh hơn 5 ngày, có tình trạng chảy máu bất thường xảy ra ngay vào ngày dự kiến của chu kỳ kinh nguyệt hoặc có bất cứ nghi ngại nào khác, cần đến gặp bác sĩ thăm khám để loại trừ khả năng mang thai.
- Sử dụng thuốc không thể thay thế cho các biện pháp ngăn ngừa các bệnh lây nhiễm qua đường tình dục.
- Đọc kĩ hướng dẫn sử dụng trước khi dùng.
- Thuốc có hạn sử dụng 36 tháng kể từ ngày sản xuất. Lưu ý không dùng thuốc đã qua hạn sử dụng.",Lưu ý gì khi sử dụng Asevictoria Mediplantex,Asevictoria Mediplantex,2,https://youmed.vn/tin-tuc/asevictoria-mediplantex/,Dược sĩ Lương Triệu Vĩ,https://youmed.vn/tin-tuc/bac-si/duoc-si-luong-trieu-vi/
drug_2748,Thuốc Ampicillin Vidipha có được dùng theo sự kê đơn của bác sĩ không?,Thuốc Ampicillin Vidipha chỉ được dùng theo sự kê đơn của bác sĩ.,"Thuốc Ampicillin Vidipha là thuốc chỉ được dùng theo sự kê đơn của bác sĩ. Ngoài ra, bạn cần đặc biệt lưu ý những điều sau: - Không được sử dụng thuốc nếu: Viên thuốc bị biến đổi màu, móp méo, nứt vỡ. Vỉ thuốc bị rách. Chai thuốc bị nứt hay mất nhãn.
- Viên thuốc bị biến đổi màu, móp méo, nứt vỡ.
- Vỉ thuốc bị rách.
- Chai thuốc bị nứt hay mất nhãn.
- Phải ngưng dùng thuốc ngay và thông báo cho bác sĩ khi gặp các biểu hiện dị ứng thuốc.
- Để xa tầm tay trẻ em.
- Không dùng thuốc đã hết hạn sử dụng.
- Đọc kỹ hướng dẫn sử dụng thuốc trước khi dùng. Tốt nhất nên xin ý kiến bác sĩ.",Lưu ý gì khi sử dụng,Ampicillin Vidipha,2,https://youmed.vn/tin-tuc/ampicillin-vidipha/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_7247,Nhiệt độ tối đa mà thuốc Carsantin có thể chịu đựng là bao nhiêu?,Thuốc Carsantin cần được lưu trữ ở nhiệt độ dưới 30°C.,"- Bảo quản nơi khô ráo, thoáng mát.
- Đặt thuốc ở nhiệt độ dưới 30°C và tránh ánh sáng.
- Giữ thuốc xa tầm tay của trẻ em. Bài viết trên đã cung cấp những thông tin cơ bản nhất về thuốc Carsantin (Carsantin 6.25mg), Hãy gọi ngay cho bác sĩ hoặc đến ngay cơ sở y tế gần nhất để được hỗ trợ kịp thời khi xảy ra các triệu chứng không mong muốn hoặc các dấu hiệu có thể ảnh hưởng đến sức khỏe nhé!",Cách bảo quản,Carsantin,2,https://youmed.vn/tin-tuc/carsantin-6-25mg/,Dược sĩ Trần Việt Linh,https://youmed.vn/tin-tuc/bac-si/duoc-si-tran-viet-linh/
drug_7610,Tại sao Ceftriaxone không nên được sử dụng ở trẻ sơ sinh bị tăng bilirubin - huyết?,"Ceftriaxone không nên được sử dụng ở trẻ sơ sinh bị tăng bilirubin - huyết vì thuốc này có thể giải phóng bilirubin từ albunin huyết thanh, làm tăng nguy cơ gây vàng da ở trẻ.","- Dị ứng với cephalosporin, đã từng bị phản ứng phản vệ với penicillin.
- Trẻ sơ sinh bị tăng bilirubin – huyết, đặc biệt ở trẻ đẻ non vì ceftriaxon giải phóng bilirubin từ albunin huyết thanh.
- Dùng đồng thời với chế phẩm chứa calci ở trẻ em: Do nguy cơ kết tủa ceftriaxon – calci tại thận và phổi ở trẻ sơ sinh và có thể cả ở trẻ lớn.",Trường hợp không nên dùng Ceftriaxone,Ceftriaxone,2,https://youmed.vn/tin-tuc/thuoc-ceftriaxone/,Dược sĩ Nguyễn Ngọc Cẩm Tiên,https://youmed.vn/tin-tuc/bac-si/duoc-si-nguyen-ngoc-cam-tien/
drug_9286,Crotamiton được dùng để điều trị bệnh gì?,Crotamiton được dùng để điều trị ghẻ và chống ngứa.,Crotamiton là thuốc bôi ngoài da để điều trị ghẻ và chống ngứa.,Crotamiton là thuốc gì?,Crotamiton,2,https://youmed.vn/tin-tuc/crotamiton/,"Thạc sĩ, Dược sĩ Phan Tiểu Long",https://youmed.vn/tin-tuc/bac-si/duoc-si-phan-tieu-long/
drug_3381,Các tác dụng phụ thường gặp của thuốc Aspirin 81 là gì?,"Các tác dụng phụ thường gặp của thuốc Aspirin 81 bao gồm buồn nôn, nôn, khó tiêu, khó chịu ở thượng vị, ợ nóng, đau dạ dày, loét dạ dày – ruột.","- Buồn nôn, nôn, khó tiêu, khó chịu ở thượng vị, ợ nóng, đau dạ dày, loét dạ dày – ruột.
- Mệt mỏi.
- Ban, mày đay.
- Thiếu máu tan huyết.
- Yếu cơ.
- Khó thở, sốc phản vệ.",Tác dụng phụ của thuốc Aspirin 81 - Các tác dụng phụ thường gặp khi sử dụng thuốc,Aspirin 81,2,https://youmed.vn/tin-tuc/thuoc-aspirin-81/,"Thạc sĩ, Dược sĩ Phan Tiểu Long",https://youmed.vn/tin-tuc/bac-si/duoc-si-phan-tieu-long/
drug_3928,Trong những trường hợp nào bệnh nhân không nên dùng thuốc Atussin?,"Bệnh nhân bị ho có quá nhiều đàm, ho mạn tính ở người hút thuốc, hen, tràn khí phổi, suy giảm hô hấp không nên dùng thuốc Atussin.","Thận trọng khi dùng thuốc Atussin cho bệnh nhân bị ho có quá nhiều đàm, ho mạn tính ở người hút thuốc, hen, tràn khí phổi, suy giảm hô hấp. Lưu ý đến các tác dụng phụ, nếu xuất hiện bất cứ triệu chứng nào bất thường thì cần liên hệ ngay với bác sĩ để có thể được hỗ trợ và xử trí kịp thời.",Những lưu ý khi dùng thuốc Atussin,Atussin,2,https://youmed.vn/tin-tuc/dieu-tri-ho-cam-sot-voi-thuoc-atussin/,Dược sĩ Nguyễn Ngọc Cẩm Tiên,https://youmed.vn/tin-tuc/bac-si/duoc-si-nguyen-ngoc-cam-tien/
