idx,question,hybrid_n_chunks,hybrid_n_entities,hybrid_n_relations,hybrid_parsed_len,hybrid_ov_ans,hybrid_ov_ctx,hybrid_has_chunks,mix_n_chunks,mix_n_entities,mix_n_relations,mix_parsed_len,mix_ov_ans,mix_ov_ctx,mix_has_chunks,beam_n_chunks,beam_n_entities,beam_n_relations,beam_parsed_len,beam_ov_ans,beam_ov_ctx,beam_has_chunks
drug_6073,"Biviantac có thể điều trị trướng bụng, đầy hơi không?",0,9,84,22371,0.8947,0.8889,True,0,9,84,22371,0.8947,0.8889,True,0,9,3,11811,0.7895,0.8148,True
drug_3019,Tại sao phải bảo quản thuốc Aphaxan Armephaco trong bao bì kín?,0,10,114,27018,1.0,0.8214,True,0,9,113,26923,1.0,0.8214,True,0,9,5,11805,1.0,0.7857,True
drug_3867,Tổng hợp các cách dùng hiệu quả để quản lý Atorvastatin T.V Pharm?,0,12,36,17631,0.8667,0.875,True,0,18,42,17502,0.9333,0.875,True,0,10,5,12972,0.8667,0.875,True
drug_3301,"Trong quá trình sử dụng Asevictoria Mediplantex, cần lưu ý điều gì?",0,9,27,13598,0.9286,0.6727,True,0,15,26,12752,0.7143,0.6364,True,0,9,4,10952,0.7857,0.6455,True
drug_2748,Thuốc Ampicillin Vidipha có được dùng theo sự kê đơn của bác sĩ không?,0,11,115,23423,0.9231,0.6951,True,0,14,126,28322,1.0,0.7195,True,0,10,5,5299,0.5385,0.4512,True
drug_7247,Nhiệt độ tối đa mà thuốc Carsantin có thể chịu đựng là bao nhiêu?,0,15,21,12834,0.6364,0.6026,True,0,17,21,14573,0.6364,0.6026,True,0,10,3,8221,0.6364,0.5,True
drug_7610,Tại sao Ceftriaxone không nên được sử dụng ở trẻ sơ sinh bị tăng bilirubin - huy,0,13,106,24035,0.9062,0.8077,True,0,11,119,27204,0.9062,0.8269,True,0,9,4,12165,0.8438,0.75,True
drug_9286,Crotamiton được dùng để điều trị bệnh gì?,0,10,148,20937,1.0,1.0,True,0,10,148,20937,1.0,1.0,True,0,10,4,5648,0.6,0.6923,True
drug_3381,Các tác dụng phụ thường gặp của thuốc Aspirin 81 là gì?,0,10,121,25401,0.8966,0.7879,True,0,9,121,25159,0.8966,0.8182,True,0,8,5,9813,0.8621,0.7273,True
drug_3928,Trong những trường hợp nào bệnh nhân không nên dùng thuốc Atussin?,0,17,19,13418,0.7407,0.7619,True,0,13,28,12190,0.7407,0.7619,True,0,10,4,8112,0.8889,0.8095,True
drug_7005,Captopril là thuốc gì?,-1,-1,-1,0,0.0,0.0,False,0,15,120,26617,0.9545,0.7966,True,0,9,4,11720,0.9091,0.6949,True
drug_9501,Thuốc Danapha Trihex 2mg còn được gọi là gì?,0,24,103,19669,1.0,0.7442,True,0,27,102,23293,1.0,0.7442,True,0,10,5,4838,1.0,0.6744,True
drug_2483,"Ông bà nào dễ có triệu chứng buồn nôn, nôn, đau thượng vị, tiêu chảy khi dùng th",0,8,118,28967,1.0,0.8182,True,0,12,119,26581,0.8333,0.8182,True,0,10,5,12769,0.5,0.6364,True
drug_4824,Nêu ví dụ về hoạt chất của thuốc Bar?,0,20,18,7721,0.6667,0.525,True,0,17,20,7760,0.2222,0.325,True,0,10,5,2380,0.0,0.15,True
