question_idx,question,answer,context,title,keyword,topic,article_url,author,author_url
medicine_8108,Con sâu ngũ bội tử tìm đến cây muối vào thời gian nào?,Vào khoảng tháng 5 – 6.,"Cây muối là một cây nhỏ cao từ 2 đến 8 m. Khi cành non và cuống lá cây này bị một giống sâu đục thì sẽ xuất hiện những chỗ sùi lên hình dạng khác nhau. Khi thì giống quả trứng nhỏ, khi thì lại có nhiều nhánh. Trên mặt có lông mịn, ngắn màu xám nhạt, có chỗ màu đỏ nâu. Khi bẻ ta thấy thành dày, cứng bóng như sừng. Trong có những lông nhỏ trắng như sợi len và mảnh con sâu. Ở nước ta, loài cây này chỉ mới có nhiều ở các tỉnh Cao Bằng, Lạng Sơn, Hà Giang. Vào khoảng tháng 5 – 6, con sâu ngũ bội tử (sâu cái) từ những cây trung gian hay đến cây muối hay diêm phu mộc. Sau đó tìm chích vào cành non và lá cây này, rồi đẻ trứng. Có thể do những chất kích thích thích tố đặc biệt của trứng và sâu non, những tế bào của cây phát triển đặc biệt, bất thường thành ngũ bội.",Mô tả dược liệu - Cây Muối,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8115,Chất nào trong Ngũ bội tử có tác dụng chống ung thư?,Axit gallic được tìm thấy trong dược liệu này có tác dụng chống ung thư chống lại nhiều loại tế bào ung thư.,"- Kết quả nghiên cứu cho thấy Ngũ bội tử có tác dụng giảm đau và chống viêm, có thể là một loại thuốc triển vọng trong điều trị viêm và đau.
- Axit gallic được tìm thấy trong dược liệu có tác dụng chống ung thư chống lại nhiều loại tế bào ung thư. Một nghiên cứu cho thấy chất này có vai trò tiềm năng trong điều trị ung thư dạ dày.
- Trong ba mô hình nấm da mở chó, dung dịch từ dược liệu này cải thiện đáng kể tổn thương da và diệt nấm. Hiệu quả diệt nấm vượt quá 85% sau khi điều trị bằng dung dịch Ngũ bội tử vào ngày thứ 14.
- Dung dịch Ngũ bội tử đường uống cho thấy hoạt động chống tiêu chảy đáng kể trong mô hình tiêu chảy do dầu thầu dầu ở chuột.
- Chiết xuất Ngũ bội tử là một chất ức chế hLDH-A mạnh với khả năng đáng kể để ngăn chặn sự tăng sinh của các tế bào ung thư vú ở người.
- Đây cũng là một ứng cử viên trị liệu cho tổn thương phổi do thuốc lá gây ra.",Tác dụng dược lý,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8116,"Trong mô hình nấm da mở chó, dung dịch từ Ngũ bội tử có hiệu quả trong việc điều trị bệnh nấm da như thế nào?",Dung dịch từ dược liệu này cải thiện đáng kể tổn thương da và diệt nấm. Hiệu quả diệt nấm vượt quá 85% sau khi điều trị bằng dung dịch Ngũ bội tử vào ngày thứ 14.,"- Kết quả nghiên cứu cho thấy Ngũ bội tử có tác dụng giảm đau và chống viêm, có thể là một loại thuốc triển vọng trong điều trị viêm và đau.
- Axit gallic được tìm thấy trong dược liệu có tác dụng chống ung thư chống lại nhiều loại tế bào ung thư. Một nghiên cứu cho thấy chất này có vai trò tiềm năng trong điều trị ung thư dạ dày.
- Trong ba mô hình nấm da mở chó, dung dịch từ dược liệu này cải thiện đáng kể tổn thương da và diệt nấm. Hiệu quả diệt nấm vượt quá 85% sau khi điều trị bằng dung dịch Ngũ bội tử vào ngày thứ 14.
- Dung dịch Ngũ bội tử đường uống cho thấy hoạt động chống tiêu chảy đáng kể trong mô hình tiêu chảy do dầu thầu dầu ở chuột.
- Chiết xuất Ngũ bội tử là một chất ức chế hLDH-A mạnh với khả năng đáng kể để ngăn chặn sự tăng sinh của các tế bào ung thư vú ở người.
- Đây cũng là một ứng cử viên trị liệu cho tổn thương phổi do thuốc lá gây ra.",Tác dụng dược lý,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8120,Ngũ bội tử được sử dụng như thế nào để điều trị bệnh trĩ?,"Để điều trị bệnh trĩ, Ngũ bội tử được ngâm với cồn 52,5% trong 1-2 tháng, sau đó lọc và nấu sôi để vô trùng. Sau khi vô trùng hậu môn ở vùng trĩ, thuốc được chích trực tiếp vào búi trĩ, đồng thời sử dụng thuốc uống để tránh táo bón. Sau khi đi tiêu, hậu môn cần được ngâm rửa bằng thuốc tím và thay thuốc dán cao Hoàng liên cho đến khi trĩ rụng và miệng lành.","Lấy Ngũ bội tử 500 g, tán vụn (sạch), ngâm vào 1 lít cồn 52,5%. Bỏ vào lọ bịt kín giữ trong 1 – 2 tháng. Lọc nấu sôi vô trùng. Sau khi vô trùng hậu môn vùng trĩ, trực tiếp chích vào búi trĩ, bên trong uống thuốc giữ không cho táo bón. Sau khi đi tiêu ngâm rửa hậu môn với thuốc tím, thay thuốc dán cao Hoàng liên cho đến khi trĩ rụng, miệng lành. Ngũ bội tử có công dụng trị tiêu chảy lâu ngày, lỵ lâu ngày, đi tiêu ra máu, trĩ chảy máu. Những thông tin trên đây chỉ mang tính chất tham khảo. Tốt nhất, bạn cần tham khảo ý kiến bác sĩ trước khi sử dụng các vị thuốc!",Phương thuốc kinh nghiệm - Ngâm trị trĩ,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8112,Thành phần hóa học chính của ngũ bội tử là gì?,"Thành phần hóa học chính của ngũ bội tử là tanin, còn gọi là axit galotanic.","Tỷ lệ tanin của ngũ bội tử Việt Nam là 50%, loại tốt lên tới 60 – 70%, có khi tới 80% sau khi đã trừ đi độ ẩm. Tanin trong dược liệu còn gọi là axit galotanic. Thủy phân axit sẽ cho axit galic. Ngoài tanin ra, trong dược liệu này còn có axit galic tự do, 2 – 4% chất béo, nhựa và tinh bột.",Thành phần hoá học,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8109,Con sâu ngũ bội tử làm gì sau khi tìm đến cây muối?,"Sau đó tìm chích vào cành non và lá cây này, rồi đẻ trứng.","Cây muối là một cây nhỏ cao từ 2 đến 8 m. Khi cành non và cuống lá cây này bị một giống sâu đục thì sẽ xuất hiện những chỗ sùi lên hình dạng khác nhau. Khi thì giống quả trứng nhỏ, khi thì lại có nhiều nhánh. Trên mặt có lông mịn, ngắn màu xám nhạt, có chỗ màu đỏ nâu. Khi bẻ ta thấy thành dày, cứng bóng như sừng. Trong có những lông nhỏ trắng như sợi len và mảnh con sâu. Ở nước ta, loài cây này chỉ mới có nhiều ở các tỉnh Cao Bằng, Lạng Sơn, Hà Giang. Vào khoảng tháng 5 – 6, con sâu ngũ bội tử (sâu cái) từ những cây trung gian hay đến cây muối hay diêm phu mộc. Sau đó tìm chích vào cành non và lá cây này, rồi đẻ trứng. Có thể do những chất kích thích thích tố đặc biệt của trứng và sâu non, những tế bào của cây phát triển đặc biệt, bất thường thành ngũ bội.",Mô tả dược liệu - Cây Muối,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8114,"Theo nghiên cứu, Ngũ bội tử có tác dụng gì?","Ngũ bội tử có tác dụng giảm đau và chống viêm, có thể là một loại thuốc triển vọng trong điều trị viêm và đau.","- Kết quả nghiên cứu cho thấy Ngũ bội tử có tác dụng giảm đau và chống viêm, có thể là một loại thuốc triển vọng trong điều trị viêm và đau.
- Axit gallic được tìm thấy trong dược liệu có tác dụng chống ung thư chống lại nhiều loại tế bào ung thư. Một nghiên cứu cho thấy chất này có vai trò tiềm năng trong điều trị ung thư dạ dày.
- Trong ba mô hình nấm da mở chó, dung dịch từ dược liệu này cải thiện đáng kể tổn thương da và diệt nấm. Hiệu quả diệt nấm vượt quá 85% sau khi điều trị bằng dung dịch Ngũ bội tử vào ngày thứ 14.
- Dung dịch Ngũ bội tử đường uống cho thấy hoạt động chống tiêu chảy đáng kể trong mô hình tiêu chảy do dầu thầu dầu ở chuột.
- Chiết xuất Ngũ bội tử là một chất ức chế hLDH-A mạnh với khả năng đáng kể để ngăn chặn sự tăng sinh của các tế bào ung thư vú ở người.
- Đây cũng là một ứng cử viên trị liệu cho tổn thương phổi do thuốc lá gây ra.",Tác dụng dược lý,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8111,Tỷ lệ tanin của ngũ bội tử Việt Nam là bao nhiêu?,"Tỷ lệ tanin của ngũ bội tử Việt Nam là 50%, loại tốt lên tới 60 – 70%, có khi tới 80% sau khi đã trừ đi độ ẩm.","Tỷ lệ tanin của ngũ bội tử Việt Nam là 50%, loại tốt lên tới 60 – 70%, có khi tới 80% sau khi đã trừ đi độ ẩm. Tanin trong dược liệu còn gọi là axit galotanic. Thủy phân axit sẽ cho axit galic. Ngoài tanin ra, trong dược liệu này còn có axit galic tự do, 2 – 4% chất béo, nhựa và tinh bột.",Thành phần hoá học,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8110,Ngũ bội tử được thu hoạch vào mùa nào?,Ngũ bội tử được thu hoạch vào mùa thu.,"Thu hoạch vào mùa thu. Lấy về, luộc qua hoặc đồ cho đến khi mặt ngoài có màu tro, diệt chết nhộng sâu. Lấy ra, phơi hoặc sấy khô. Dựa vào hình dạng bên ngoài mà chia ra Đỗ bội hay Giác bội.",Bào chế,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8118,Ngày dùng Ngũ bội tử với liều lượng là bao nhiêu gram?,Ngày dùng Ngũ bội tử với liều lượng từ 4 gram đến 12 gram.,"Ngày dùng từ 4 g đến 12 g, dạng thuốc sắc. Dùng ngoài thì tuỳ lượng thích hợp.","Công dụng, liều dùng - Liều dùng",Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8119,Dùng Ngũ bội tử và phèn phi cần lưu ý điều gì?,"Tán bột thành viên rồi uống với nước cơm thay vì thuốc viên sản xuất công nghiệp, đặc biệt cần chú ý liều lượng mỗi ngày là 2-3 viên, mỗi viên 2 đến 8g.","Dùng Ngũ bội tử 1 lạng (40 g). Phèn phi 5 đồng cân (20 g) tán bột viên với hồ, uống với nước cơm mỗi lần 2 g đến 8 g, ngày uống 2 – 3 lần (Theo Nam Dược thần hiệu). Ngoài ra thì bạn có thể tìm hiểu thêm Những dấu hiệu nào có thể liên quan đến bệnh kiết lỵ? hoặc bài viết Những điều cần lưu ý khi đến khám bệnh Kiết lỵ.",Phương thuốc kinh nghiệm - Đi lỵ ra máu lâu ngày,Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
medicine_8117,Người bệnh khi dùng Ngũ bội tử nên sử dụng dưới dạng nào?,Người bệnh khi sử dụng Ngũ bội tử nên sắc thuốc để dùng.,"Ngày dùng từ 4 g đến 12 g, dạng thuốc sắc. Dùng ngoài thì tuỳ lượng thích hợp.","Công dụng, liều dùng - Liều dùng",Ngũ bội tử,3,https://youmed.vn/tin-tuc/ngu-boi-tu-cong-dung-cho-nguoi-benh-tri/,"Thạc sĩ, Bác sĩ Nguyễn Trần Anh Thư",https://youmed.vn/tin-tuc/bac-si/bac-si-nguyen-tran-anh-thu/
disease_7693,Triệu chứng bất thường nào xuất hiện trong miệng người bệnh suy thận?,Người bệnh suy thận có thể cảm thấy có vị kim loại trong miệng.,"Thận là cơ quan thích nghi rất tốt với các thay đổi trong và ngoài thận. Khi một người bắt đầu bị bệnh suy thận, thận sẽ hoạt động tăng cường để bù đắp chức năng. Vì vậy, nếu thận có xu hướng tổn thương nặng dần theo thời gian, các triệu chứng cũng bộc lộ dần. Trên thực tế, một người suy thận có thể không có bất kỳ triệu chứng nào cho đến khi bệnh trở nặng. Nếu có, các triệu chứng bệnh suy thận thường gặp là: - Huyết áp cao.
- Buồn nôn, nôn mửa.
- Ăn mất ngon.
- Cảm giác có vị kim loại trong miệng.
- Mệt mỏi, suy nhược.
- Sa sút tinh thần.
- Rối loạn giấc ngủ.
- Co giật, chuột rút.
- Sưng bàn chân và mắt cá chân.
- Ngứa kéo dài không dứt.
- Đau ngực khi chất lỏng tích tụ quanh tim.
- Khó thở nếu chất lỏng ứ đọng trong phổi.",Triệu chứng bệnh suy thận,Suy thận,1,https://youmed.vn/tin-tuc/benh-suy-than/,ThS.BS Trần Quốc Phong,https://youmed.vn/tin-tuc/bac-si/thac-si-bac-si-tran-quoc-phong/
disease_7685,Suy thận gây ra những ảnh hưởng như thế nào?,"Suy thận gây ra tình trạng suy giảm khả năng lọc máu, kiểm soát huyết áp, sản xuất hồng cầu và chuyển hóa vitamin D.","Suy thận (thuật ngữ hiện nay thường dùng là tổn thương thận) cấp hoặc mạn là tình trạng thận bị suy giảm chức năng. Thận không còn hoạt động tốt sẽ ảnh hưởng đến quá trình lọc máu của cơ thể. Ngoài ra còn làm suy giảm khả năng kiểm soát huyết áp, sản xuất hồng cầu và chuyển hóa vitamin D. Nếu không điều trị, bệnh có thể nguy hiểm đến tính mạng.",Bệnh suy thận là gì? - Bệnh suy thận là gì?,Suy thận,1,https://youmed.vn/tin-tuc/benh-suy-than/,ThS.BS Trần Quốc Phong,https://youmed.vn/tin-tuc/bac-si/thac-si-bac-si-tran-quoc-phong/
disease_212,Những đối tượng nào dễ mắc bệnh béo phì?,"Những trường hợp dễ mắc bệnh béo phì là phụ nữ sau sinh, phụ nữ độ tuổi trung niên, người sinh ra trong gia đình có truyền thống béo phì, thừa cân và thường xuyên căng thẳng trong thời gian dài.","Bệnh béo phì có thể xảy ra ở bất kì đối tượng nào. Song những trường hợp sau có nguy cơ béo phì cao hơn bình thường: - Phụ nữ sau sinh.
- Phụ nữ độ tuổi trung niên.
- Người sinh ra trong gia đình có truyền thống béo phì, thừa cân.
- Thường xuyên căng thẳng trong thời gian dài.",Những đối tượng dễ mắc bệnh béo phì,Béo phì,1,https://youmed.vn/tin-tuc/benh-beo-phi/,ThS.BS Vũ Thành Đô,https://youmed.vn/tin-tuc/bac-si/bac-si-vu-thanh-do/
